2016-01-23 23:39:15,089 : INFO : categ=yelp, ftype=ConfAll, index=10, rmse=0.1070538215, rho=0.2311644914, pval=0.0000000000, mse=0.0114605207, mae=0.0805048931, pre_logfit=-12.7117217653, base_logfit=-12.3279463830
2016-01-23 23:40:14,242 : INFO : categ=yelp, ftype=LIWC, index=11, rmse=0.1070140701, rho=0.2401041116, pval=0.0000000000, mse=0.0114520112, mae=0.0801636625, pre_logfit=-12.8605377884, base_logfit=-12.4722405090
2016-01-23 23:42:28,074 : INFO : categ=yelp, ftype=INQUIRER, index=11, rmse=0.1069419441, rho=0.2571505149, pval=0.0000000000, mse=0.0114365794, mae=0.0798502682, pre_logfit=-12.8598225450, base_logfit=-12.4722405090
2016-01-23 23:43:18,060 : INFO : categ=yelp, ftype=GALC, index=11, rmse=0.1099879092, rho=0.1086417680, pval=0.0000000000, mse=0.0120973402, mae=0.0816872806, pre_logfit=-12.8821393801, base_logfit=-12.4722405090
2016-01-23 23:43:19,132 : INFO : categ=yelp, ftype=ConfAll, index=11, rmse=0.1075360648, rho=0.2284851753, pval=0.0000000000, mse=0.0115640052, mae=0.0802963696, pre_logfit=-12.8643087524, base_logfit=-12.4722405090
2016-01-23 23:44:17,956 : INFO : categ=yelp, ftype=LIWC, index=12, rmse=0.1074651153, rho=0.2490858905, pval=0.0000000000, mse=0.0115487510, mae=0.0806131961, pre_logfit=-12.7177672662, base_logfit=-12.3269887949
2016-01-23 23:46:31,260 : INFO : categ=yelp, ftype=INQUIRER, index=12, rmse=0.1075593843, rho=0.2508467627, pval=0.0000000000, mse=0.0115690211, mae=0.0806304260, pre_logfit=-12.7191099533, base_logfit=-12.3269887949
2016-01-23 23:47:20,775 : INFO : categ=yelp, ftype=GALC, index=12, rmse=0.1104560475, rho=0.1171962778, pval=0.0000000000, mse=0.0122005384, mae=0.0823156872, pre_logfit=-12.7412952914, base_logfit=-12.3269887949
2016-01-23 23:47:21,851 : INFO : categ=yelp, ftype=ConfAll, index=12, rmse=0.1079912072, rho=0.2351302938, pval=0.0000000000, mse=0.0116621008, mae=0.0808723088, pre_logfit=-12.7223254288, base_logfit=-12.3269887949
2016-01-23 23:48:21,657 : INFO : categ=yelp, ftype=LIWC, index=13, rmse=0.1053642577, rho=0.2392878580, pval=0.0000000000, mse=0.0111016268, mae=0.0795475550, pre_logfit=-12.8309398854, base_logfit=-12.4570209831
2016-01-23 23:50:35,440 : INFO : categ=yelp, ftype=INQUIRER, index=13, rmse=0.1054178101, rho=0.2546910169, pval=0.0000000000, mse=0.0111129147, mae=0.0793861554, pre_logfit=-12.8325995502, base_logfit=-12.4570209831
2016-01-23 23:51:25,063 : INFO : categ=yelp, ftype=GALC, index=13, rmse=0.1083948453, rho=0.1066898592, pval=0.0000000000, mse=0.0117494425, mae=0.0812481124, pre_logfit=-12.8562154687, base_logfit=-12.4570209831
2016-01-23 23:51:26,147 : INFO : categ=yelp, ftype=ConfAll, index=13, rmse=0.1057120611, rho=0.2373097995, pval=0.0000000000, mse=0.0111750399, mae=0.0796669946, pre_logfit=-12.8346133553, base_logfit=-12.4570209831
2016-01-23 23:52:25,651 : INFO : categ=yelp, ftype=LIWC, index=14, rmse=0.1054686693, rho=0.2343649233, pval=0.0000000000, mse=0.0111236402, mae=0.0796271699, pre_logfit=-12.7509025524, base_logfit=-12.3759359144
2016-01-23 23:54:39,778 : INFO : categ=yelp, ftype=INQUIRER, index=14, rmse=0.1054198755, rho=0.2523082768, pval=0.0000000000, mse=0.0111133502, mae=0.0794164919, pre_logfit=-12.7513610836, base_logfit=-12.3759359144
